t,u0,v0,u1,v1,u2,v2,u3,v3
27.86087989807129,212.0,94.5,366.5,120.5,195.0,256.0,355.0,270.0
59.20982360839844,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
91.96615219116211,212.0,95.0,367.0,120.0,195.0,257.0,354.0,271.0
124.14884567260742,212.0,95.0,366.5,120.0,195.0,256.0,355.0,270.0
157.2880744934082,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
191.1149024963379,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
224.46203231811523,212.0,95.0,366.5,120.0,195.0,256.0,355.0,270.0
256.7322254180908,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
290.2970314025879,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
322.91698455810547,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
356.22406005859375,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
389.48917388916016,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
423.53296279907227,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
456.6161632537842,212.0,95.0,366.5,120.0,195.0,257.0,355.0,271.0
489.9890422821045,212.0,95.0,367.0,120.0,195.0,257.0,354.0,271.0
520.4401016235352,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
553.9469718933105,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
586.9631767272949,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
621.6831207275391,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
654.6761989593506,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
688.2510185241699,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
720.0701236724854,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
753.1671524047852,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
786.8320941925049,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
853.3470630645752,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
884.0329647064209,212.0,95.0,366.5,120.0,195.0,256.0,355.0,270.0
915.1771068572998,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
947.829008102417,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
981.1229705810547,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
1014.0130519866943,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1046.675205230713,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1079.7102451324463,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
1113.2221221923828,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
1146.1541652679443,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1179.4030666351318,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
1212.5070095062256,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
1245.9301948547363,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1278.778076171875,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1313.122034072876,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1345.736026763916,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1378.3049583435059,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1408.8990688323975,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
1445.6031322479248,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
1476.1772155761719,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1509.1781616210938,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
1541.6920185089111,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1574.7590065002441,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
1608.1480979919434,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
1641.740083694458,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1675.0290393829346,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1708.3511352539062,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
1741.0800457000732,212.0,94.5,366.5,120.5,195.0,257.0,355.0,271.0
1774.278163909912,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1807.6472282409668,212.0,94.5,367.0,120.5,195.0,256.0,354.0,270.0
1841.4180278778076,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
1875.3211498260498,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1909.353256225586,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
1939.1369819641113,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
1972.7671146392822,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2005.9821605682373,212.0,94.5,367.0,120.5,195.0,257.0,354.0,271.0
2040.4682159423828,212.0,94.5,367.0,120.5,0,0,0,0
