t,u0,v0,u1,v1,u2,v2,u3,v3
25.73704719543457,212.0,95.0,367.0,120.0,195.0,256.0,354.0,270.0
58.40611457824707,212.0,95.0,367.0,120.0,195.0,257.0,354.0,271.0
91.32504463195801,212.0,94.5,195.0,256.0,0,0,0,0
124.72724914550781,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
157.5911045074463,212.0,94.5,195.0,257.0,366.0,120.25,354.5,271.0
191.09106063842773,212.0,95.0,195.0,257.0,367.0,120.0,354.0,271.0
222.58996963500977,212.0,95.0,195.0,256.0,366.5,120.0,355.0,270.0
255.08999824523926,212.0,94.5,195.0,257.0,366.0,120.25,354.5,271.0
289.8120880126953,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
323.458194732666,212.0,95.0,195.0,256.0,366.5,120.0,355.0,270.0
355.8621406555176,212.0,95.0,195.0,257.0,367.0,120.0,354.0,271.0
389.2970085144043,212.0,95.0,195.0,257.0,366.0,119.5,354.5,271.0
419.91615295410156,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
452.9409408569336,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
486.7558479309082,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
521.2922096252441,212.0,94.5,195.0,256.0,366.5,120.5,355.0,270.0
554.3630123138428,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
588.1860256195068,212.0,94.5,195.0,257.0,366.0,120.25,354.5,271.0
618.8602447509766,212.0,94.5,195.0,256.0,367.0,120.5,354.0,270.0
652.1511077880859,212.0,95.0,195.0,256.0,366.5,120.0,355.0,270.0
685.2879524230957,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
719.3500995635986,212.0,94.5,195.0,256.0,366.0,120.25,354.5,270.0
752.446174621582,212.0,95.0,195.0,256.0,366.5,120.0,355.0,270.0
785.9020233154297,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
817.2430992126465,212.0,94.5,195.0,256.0,366.0,120.25,354.5,270.0
850.9972095489502,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
884.2058181762695,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
917.7958965301514,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
949.8190879821777,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
984.0860366821289,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1013.0529403686523,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
1045.9680557250977,212.0,95.0,195.0,256.0,366.5,120.0,355.0,270.0
1079.4589519500732,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1112.6880645751953,212.0,94.5,195.0,257.0,366.0,120.25,354.5,271.0
1145.8048820495605,212.0,94.5,195.0,256.0,367.0,120.5,354.0,270.0
1179.3150901794434,212.0,95.0,195.0,256.0,366.5,120.0,355.0,270.0
1211.9851112365723,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
1245.5830574035645,212.0,94.5,195.0,256.0,367.0,120.5,354.0,270.0
1278.9552211761475,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1342.5581455230713,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
1375.5569458007812,212.0,95.0,195.0,257.0,367.0,120.0,354.0,271.0
1409.1620445251465,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1440.9050941467285,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
1474.6158123016357,212.0,95.0,195.0,257.0,367.0,120.0,354.0,271.0
1507.6608657836914,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1540.8568382263184,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1574.188232421875,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
1608.232021331787,212.0,94.5,195.0,256.0,367.0,120.5,354.0,270.0
1640.7709121704102,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1673.5131740570068,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
1706.8471908569336,212.0,94.5,195.0,256.0,367.0,120.5,354.0,270.0
1741.4789199829102,212.0,95.0,195.0,256.0,367.0,120.0,354.0,270.0
1773.453950881958,212.0,94.5,195.0,257.0,367.0,120.5,354.0,271.0
