t,u,v,x,y,z,r,num_contours,threshold
23.3461856842041,133,320,-7.45078125,-3.333333333333333,20.0,43.88,6,
58.2890510559082,132,320,-7.4906250000000005,-3.333333333333333,20.0,44.02,8,
91.34197235107422,132,320,-7.4906250000000005,-3.333333333333333,20.0,43.88,9,
123.81219863891602,132,319,-7.4906250000000005,-3.2916666666666665,20.0,43.68,8,
156.79931640625,131,318,-7.530468750000001,-3.25,20.0,43.94,6,
188.568115234375,131,318,-7.530468750000001,-3.25,20.0,44.2,7,
222.2151756286621,132,318,-7.4906250000000005,-3.25,20.0,44.02,10,
257.1890354156494,133,319,-7.45078125,-3.2916666666666665,20.0,43.84,6,
288.585901260376,132,317,-7.4906250000000005,-3.208333333333333,20.0,43.85,9,
321.78616523742676,130,315,-7.570312500000001,-3.125,20.0,44.13,9,
354.45308685302734,130,315,-7.570312500000001,-3.125,20.0,44.26,9,
385.67113876342773,133,317,-7.45078125,-3.208333333333333,20.0,44.05,5,
419.7392463684082,134,317,-7.410937500000001,-3.208333333333333,20.0,43.94,8,
454.04911041259766,133,315,-7.45078125,-3.125,20.0,44.11,11,
484.67397689819336,130,314,-7.570312500000001,-3.083333333333333,20.0,44.41,9,
519.4060802459717,128,313,-7.65,-3.0416666666666665,20.0,44.66,6,
552.4981021881104,128,314,-7.65,-3.083333333333333,20.0,44.75,7,
585.8221054077148,128,315,-7.65,-3.125,20.0,44.82,5,
619.4281578063965,126,314,-7.729687500000001,-3.083333333333333,20.0,44.9,6,
654.2389392852783,124,314,-7.809375000000001,-3.083333333333333,20.0,44.89,10,
686.4252090454102,123,314,-7.849218750000001,-3.083333333333333,20.0,44.91,10,
719.8550701141357,124,315,-7.809375000000001,-3.125,20.0,44.9,7,
753.0019283294678,126,317,-7.729687500000001,-3.208333333333333,20.0,44.8,9,
784.3959331512451,126,317,-7.729687500000001,-3.208333333333333,20.0,44.69,8,
850.3291606903076,125,316,-7.769531250000001,-3.1666666666666665,20.0,44.68,9,
884.5531940460205,124,315,-7.809375000000001,-3.125,20.0,44.77,6,
915.7030582427979,124,315,-7.809375000000001,-3.125,20.0,44.81,9,
948.5533237457275,123,314,-7.849218750000001,-3.083333333333333,20.0,44.79,7,
981.9209575653076,123,312,-7.849218750000001,-3.0,20.0,44.82,7,
1014.6160125732422,122,312,-7.8890625000000005,-3.0,20.0,44.94,8,
1046.3552474975586,124,312,-7.809375000000001,-3.0,20.0,44.93,7,
1079.8351764678955,128,313,-7.65,-3.0416666666666665,20.0,44.84,8,
1112.072229385376,132,313,-7.4906250000000005,-3.0416666666666665,20.0,44.77,8,
1145.8261013031006,132,311,-7.4906250000000005,-2.958333333333333,20.0,44.81,10,
1178.5831451416016,129,308,-7.610156250000001,-2.833333333333333,20.0,44.93,8,
1211.7440700531006,125,305,-7.769531250000001,-2.708333333333333,20.0,45.0,9,
1244.9991703033447,122,303,-7.8890625000000005,-2.625,20.0,45.12,9,
1279.3841361999512,121,302,-7.928906250000001,-2.583333333333333,20.0,45.14,6,
1310.7261657714844,119,301,-8.008593750000001,-2.5416666666666665,20.0,45.21,8,
1344.398021697998,117,298,-8.088281250000001,-2.4166666666666665,20.0,45.44,9,
1377.4161338806152,117,296,-8.088281250000001,-2.333333333333333,20.0,45.41,8,
1411.0891819000244,118,293,-8.0484375,-2.208333333333333,20.0,45.26,10,
1443.552017211914,117,291,-8.088281250000001,-2.125,20.0,45.17,10,
1477.417230606079,117,288,-8.088281250000001,-2.0,20.0,44.85,11,
1509.9201202392578,113,282,-8.24765625,-1.75,20.0,44.52,9,
1542.3481464385986,107,274,-8.486718750000001,-1.4166666666666665,20.0,44.62,11,
1575.042963027954,107,269,-8.486718750000001,-1.2083333333333333,20.0,44.42,13,
1607.97119140625,110,265,-8.3671875,-1.0416666666666665,20.0,43.76,11,
1641.841173171997,113,258,-8.24765625,-0.75,20.0,43.26,17,
1675.9350299835205,114,250,-8.207812500000001,-0.41666666666666663,20.0,43.21,15,
1708.2281112670898,113,243,-8.24765625,-0.125,20.0,43.18,15,
1740.5412197113037,110,235,-8.3671875,0.20833333333333331,20.0,43.15,13,
1772.9620933532715,110,231,-8.3671875,0.375,20.0,42.96,10,
1806.9329261779785,116,231,-8.128125,0.375,20.0,42.41,10,
1839.346170425415,121,230,-7.928906250000001,0.41666666666666663,20.0,41.9,10,
1872.6751804351807,121,225,-7.928906250000001,0.625,20.0,41.91,8,
1904.3300151824951,120,220,-7.968750000000001,0.8333333333333333,20.0,41.89,6,
1939.256191253662,122,215,-7.8890625000000005,1.0416666666666665,20.0,41.64,9,
1971.3940620422363,123,208,-7.849218750000001,1.3333333333333333,20.0,41.51,9,
2004.547119140625,125,202,-7.769531250000001,1.5833333333333333,20.0,41.64,6,
2038.0771160125732,129,197,-7.610156250000001,1.7916666666666665,20.0,41.74,9,
2072.097063064575,134,195,-7.410937500000001,1.875,20.0,41.4,10,
2103.131055831909,138,192,-7.2515625,2.0,20.0,40.8,8,
2137.1781826019287,141,186,-7.132031250000001,2.25,20.0,40.52,9,
2170.255184173584,144,180,-7.012500000000001,2.5,20.0,40.52,6,
2202.5091648101807,148,175,-6.853125,2.708333333333333,20.0,40.33,8,
2236.3851070404053,153,172,-6.65390625,2.833333333333333,20.0,39.94,9,
2270.609140396118,158,169,-6.4546875,2.958333333333333,20.0,39.4,6,
2303.241968154907,162,165,-6.2953125000000005,3.125,20.0,38.92,7,
2337.886333465576,168,160,-6.05625,3.333333333333333,20.0,38.55,10,
2371.274948120117,174,155,-5.8171875,3.5416666666666665,20.0,38.27,7,
2402.750253677368,179,148,-5.61796875,3.833333333333333,20.0,38.08,9,
2435.9490871429443,184,142,-5.41875,4.083333333333333,20.0,37.82,9,
2465.0700092315674,190,137,-5.179687500000001,4.291666666666666,20.0,37.55,9,
2530.649185180664,197,133,-4.9007812500000005,4.458333333333333,20.0,37.09,11,
2563.7218952178955,205,127,-4.582031250000001,4.708333333333333,20.0,36.86,9,
2597.3241329193115,213,121,-4.26328125,4.958333333333333,20.0,36.76,10,
2629.7521591186523,222,115,-3.9046875000000005,5.208333333333333,20.0,36.63,12,
2663.591146469116,232,110,-3.5062500000000005,5.416666666666666,20.0,36.5,12,
2696.8061923980713,241,105,-3.1476562500000003,5.625,20.0,36.32,15,
2728.6930084228516,248,100,-2.8687500000000004,5.833333333333333,20.0,36.22,13,
2762.930154800415,254,95,-2.6296875,6.041666666666666,20.0,36.16,12,
2796.1819171905518,262,94,-2.3109375,6.083333333333333,20.0,36.03,8,
2829.200029373169,272,94,-1.9125,6.083333333333333,20.0,35.76,10,
2862.271308898926,283,95,-1.4742187500000001,6.041666666666666,20.0,35.6,10,
2896.28005027771,294,98,-1.0359375000000002,5.916666666666666,20.0,35.42,12,
2928.586959838867,304,103,-0.6375000000000001,5.708333333333333,20.0,35.09,8,
2961.0443115234375,314,108,-0.2390625,5.5,20.0,34.83,8,
2994.556188583374,322,113,0.07968750000000001,5.291666666666666,20.0,34.57,11,
3027.494192123413,326,116,0.2390625,5.166666666666666,20.0,34.4,12,
3059.9112510681152,331,121,0.43828125000000007,4.958333333333333,20.0,34.17,8,
3095.1411724090576,340,129,0.7968750000000001,4.625,20.0,33.89,6,
3125.9021759033203,348,137,1.115625,4.291666666666666,20.0,33.69,6,
3159.6322059631348,352,145,1.2750000000000001,3.958333333333333,20.0,33.48,6,
3192.523956298828,356,152,1.4343750000000002,3.6666666666666665,20.0,33.12,7,
3225.534200668335,362,161,1.6734375000000001,3.2916666666666665,20.0,32.84,6,
3258.4869861602783,369,168,1.9523437500000003,3.0,20.0,32.68,6,
3292.3409938812256,377,175,2.2710937500000004,2.708333333333333,20.0,32.73,5,
3323.942184448242,383,182,2.51015625,2.4166666666666665,20.0,32.55,5,
3357.401132583618,388,189,2.709375,2.125,20.0,32.46,6,
3390.353202819824,394,199,2.9484375000000003,1.7083333333333333,20.0,32.34,7,
3423.0282306671143,401,210,3.22734375,1.25,20.0,32.21,7,
3457.034111022949,407,220,3.4664062500000004,0.8333333333333333,20.0,32.11,4,
3490.49711227417,412,230,3.6656250000000004,0.41666666666666663,20.0,31.96,4,
3521.3241577148438,417,239,3.8648437500000004,0.041666666666666664,20.0,31.85,6,
3554.2211532592773,422,251,4.0640625,-0.4583333333333333,20.0,31.94,6,
3588.473081588745,427,263,4.26328125,-0.9583333333333333,20.0,31.92,7,
3622.2500801086426,426,273,4.2234375,-1.375,20.0,31.61,6,
3657.280921936035,424,280,4.143750000000001,-1.6666666666666665,20.0,31.49,7,
3690.709114074707,423,289,4.1039062500000005,-2.0416666666666665,20.0,31.52,6,
3721.6529846191406,424,299,4.143750000000001,-2.458333333333333,20.0,31.52,5,
3753.1371116638184,424,307,4.143750000000001,-2.7916666666666665,20.0,31.54,6,
3786.4129543304443,425,316,4.18359375,-3.1666666666666665,20.0,31.69,4,
3819.2901611328125,426,327,4.2234375,-3.625,20.0,31.79,4,
3852.9610633850098,425,336,4.18359375,-4.0,20.0,31.77,4,
3886.695146560669,424,344,4.143750000000001,-4.333333333333333,20.0,32.02,3,
3919.922113418579,422,353,4.0640625,-4.708333333333333,20.0,32.25,5,
3952.7971744537354,420,363,3.9843750000000004,-5.125,20.0,32.37,5,
3985.513925552368,418,375,3.9046875000000005,-5.625,20.0,32.46,6,
4019.757032394409,417,384,3.8648437500000004,-6.0,20.0,32.65,4,
4052.868127822876,413,390,3.7054687500000005,-6.25,20.0,32.8,5,
4085.9251022338867,408,395,3.5062500000000005,-6.458333333333333,20.0,33.09,4,
4117.40517616272,403,401,3.3070312500000005,-6.708333333333333,20.0,33.44,5,
4150.844097137451,398,411,3.1078125000000005,-7.125,20.0,33.82,5,
4183.237075805664,392,423,2.8687500000000004,-7.625,20.0,34.19,4,
4249.650239944458,382,434,2.4703125000000004,-8.083333333333332,20.0,34.48,4,
4283.538103103638,368,441,1.9125,-8.375,20.0,34.6,7,
4317.825078964233,352,445,1.2750000000000001,-8.541666666666666,20.0,34.56,5,
4347.246170043945,338,448,0.7171875000000001,-8.666666666666666,20.0,34.09,6,
4379.7149658203125,328,453,0.31875000000000003,-8.875,20.0,32.46,5,
4414.422988891602,317,456,-0.11953125,-9.0,20.0,30.66,5,
4447.606086730957,304,457,-0.6375000000000001,-9.041666666666666,20.0,30.03,5,
4478.794097900391,291,457,-1.15546875,-9.041666666666666,20.0,29.99,4,
4514.282941818237,278,458,-1.6734375000000001,-9.083333333333332,20.0,30.14,5,
4543.686151504517,265,457,-2.1914062500000004,-9.041666666666666,20.0,30.65,4,
4577.506065368652,252,456,-2.709375,-9.0,20.0,31.97,7,
4609.969139099121,240,454,-3.1875000000000004,-8.916666666666666,20.0,33.55,6,
4642.510175704956,229,452,-3.62578125,-8.833333333333332,20.0,34.71,5,
4676.060199737549,219,451,-4.02421875,-8.791666666666666,20.0,35.9,4,
4709.565162658691,210,448,-4.382812500000001,-8.666666666666666,20.0,37.27,5,
4742.217302322388,202,446,-4.7015625000000005,-8.583333333333332,20.0,38.58,5,
4774.86515045166,195,443,-4.980468750000001,-8.458333333333332,20.0,39.81,5,
