t,u,v,r,num_contours,threshold
24.01423454284668,0,0,0.0,1,1
58.16817283630371,0,0,0.0,3,1
90.33322334289551,0,0,0.0,3,1
122.25937843322754,0,0,0.0,2,1
155.47537803649902,0,0,0.0,3,1
190.98806381225586,0,0,0.0,4,1
255.57708740234375,0,0,0.0,3,1
287.7771854400635,0,0,0.0,3,1
320.7261562347412,0,0,0.0,1,1
352.74720191955566,0,0,0.0,3,1
389.48917388916016,0,0,0.0,1,1
418.34211349487305,0,0,0.0,2,1
455.5063247680664,0,0,0.0,4,1
484.6200942993164,0,0,0.0,2,1
516.4361000061035,0,0,0.0,3,1
549.274206161499,0,0,0.0,3,1
582.6382637023926,0,0,0.0,1,1
616.7962551116943,0,0,0.0,2,1
649.7361660003662,0,0,0.0,2,1
683.5172176361084,0,0,0.0,5,1
716.386079788208,0,0,0.0,4,1
750.1890659332275,0,0,0.0,1,1
783.6563587188721,0,0,0.0,6,1
817.3151016235352,0,0,0.0,6,1
848.1001853942871,0,0,0.0,2,1
884.1781616210938,0,0,0.0,5,1
914.1030311584473,0,0,0.0,4,1
947.3071098327637,0,0,0.0,4,1
980.4141521453857,0,0,0.0,4,1
1013.1242275238037,0,0,0.0,1,1
1045.389175415039,0,0,0.0,4,1
1078.3321857452393,0,0,0.0,3,1
1111.1910343170166,0,0,0.0,7,1
1144.3321704864502,0,0,0.0,1,1
1177.469253540039,0,0,0.0,4,1
1211.130142211914,0,0,0.0,5,1
1243.7613010406494,0,0,0.0,3,1
1277.064323425293,0,0,0.0,2,1
1310.2352619171143,0,0,0.0,1,1
1343.6050415039062,0,0,0.0,3,1
1376.7611980438232,0,0,0.0,0,1
1410.9282493591309,0,0,0.0,5,1
1442.7111148834229,0,0,0.0,1,1
1476.1462211608887,0,0,0.0,5,1
1509.047031402588,0,0,0.0,6,1
1541.58616065979,0,0,0.0,5,1
1574.7950077056885,0,0,0.0,4,1
1609.253168106079,0,0,0.0,1,1
1640.9721374511719,0,0,0.0,2,1
1674.389123916626,0,0,0.0,3,1
1707.0231437683105,0,0,0.0,1,1
1739.2303943634033,0,0,0.0,5,1
1772.8431224822998,0,0,0.0,6,2
1806.8392276763916,0,0,0.0,7,2
1837.9731178283691,0,0,0.0,5,2
1871.5760707855225,0,0,0.0,6,2
1938.0640983581543,0,0,0.0,7,2
1971.0509777069092,0,0,0.0,5,2
2002.7430057525635,0,0,0.0,4,2
2037.98508644104,0,0,0.0,5,2
2068.584203720093,0,0,0.0,2,2
2102.076292037964,0,0,0.0,6,2
2133.8119506835938,0,0,0.0,5,2
2171.2350845336914,0,0,0.0,2,2
2202.8591632843018,0,0,0.0,8,2
2236.030101776123,0,0,0.0,5,2
2267.0652866363525,0,0,0.0,9,3
2300.499200820923,0,0,0.0,5,3
2334.5091342926025,0,0,0.0,6,3
2367.192029953003,0,0,0.0,10,4
2400.414228439331,0,0,0.0,7,4
2434.3152046203613,0,0,0.0,11,5
2467.4272537231445,0,0,0.0,9,5
2500.0851154327393,0,0,0.0,11,5
2530.280351638794,0,0,0.0,12,6
2562.378168106079,0,0,0.0,12,6
2596.5170860290527,0,0,0.0,9,6
2629.615306854248,0,0,0.0,17,7
2661.679267883301,0,0,0.0,16,7
2695.573091506958,0,0,0.0,22,8
2728.4531593322754,0,0,0.0,18,8
2762.010097503662,0,0,0.0,27,8
2795.3412532806396,0,0,0.0,18,9
2829.421043395996,0,0,0.0,19,9
2861.3030910491943,0,0,0.0,19,10
2895.1961994171143,0,0,0.0,29,10
2927.87504196167,0,0,0.0,27,10
2961.099147796631,0,0,0.0,25,11
2994.230031967163,0,0,0.0,24,11
3027.4062156677246,0,0,0.0,33,12
3060.2471828460693,0,0,0.0,23,12
3093.569040298462,0,0,0.0,25,12
3126.101016998291,196,240,19.01,26,13
3158.4692001342773,199,240,18.65,21,13
3192.448139190674,197,240,22.84,28,14
3225.9602546691895,197,240,22.32,37,14
3258.059024810791,196,240,22.25,24,14
3291.3031578063965,196,237,28.37,30,15
3324.8062133789062,197,236,27.93,27,15
3356.9369316101074,195,235,30.06,46,16
3390.0301456451416,195,235,30.23,42,16
3425.7431030273438,194,235,29.9,70,16
3456.1281204223633,194,234,31.48,34,17
3487.9331588745117,194,234,31.74,39,17
3522.003173828125,193,234,31.69,34,18
3555.004358291626,194,233,31.87,29,18
3621.514081954956,194,234,31.86,34,18
3654.6051502227783,193,231,34.93,22,19
3686.138153076172,192,229,37.16,31,20
3719.111204147339,192,229,37.04,32,20
3752.275228500366,192,230,36.46,35,20
3784.989356994629,191,230,37.57,25,21
3817.8722858428955,192,230,37.49,27,21
3852.0562648773193,192,230,37.47,26,21
3884.4380378723145,192,228,38.63,26,22
3917.9441928863525,192,229,38.56,34,22
3950.148105621338,191,229,38.89,19,23
3983.8221073150635,191,228,39.15,28,23
4018.0132389068604,190,227,39.08,28,23
4051.413059234619,190,226,40.55,29,24
4083.0681324005127,190,227,40.1,27,24
4117.887020111084,189,225,40.71,29,25
4150.801181793213,188,225,40.87,22,25
4180.995225906372,189,225,40.77,33,25
4214.381217956543,189,224,41.6,33,26
4246.640205383301,188,224,41.43,29,26
4280.402183532715,188,223,42.63,29,27
4313.730239868164,189,224,42.52,22,27
4346.639156341553,188,223,42.66,24,27
4379.922151565552,188,222,43.18,35,28
4412.8053188323975,188,221,43.32,26,28
4446.7713832855225,188,220,44.28,35,29
4479.069232940674,187,221,44.14,26,29
4512.441158294678,188,221,44.24,27,29
4545.090198516846,189,221,44.32,28,30
4579.722166061401,189,221,44.4,28,30
4608.718156814575,190,221,44.65,28,31
4642.498016357422,191,222,44.48,31,31
4675.607204437256,190,222,44.6,32,31
4708.7390422821045,189,221,45.07,28,32
4741.662979125977,189,221,45.27,33,32
4775.000095367432,189,221,45.84,30,33
4808.004140853882,189,221,45.69,32,33
4842.018127441406,189,221,45.64,27,33
4874.277114868164,190,221,46.11,30,34
4908.041954040527,189,221,46.04,24,34
4939.891338348389,187,221,46.41,16,35
4973.800182342529,187,221,46.42,19,35
5006.844282150269,188,221,46.31,16,35
5040.950059890747,186,219,47.46,22,36
5073.543310165405,186,219,47.47,22,36
5106.234312057495,187,219,47.26,17,36
5138.056993484497,186,219,47.49,20,37
5172.161102294922,185,219,47.37,22,37
5205.377101898193,185,219,47.53,21,38
5238.531112670898,184,218,47.69,15,38
5271.117210388184,183,218,47.75,20,38
5335.90030670166,183,218,47.78,11,39
5369.52018737793,184,218,47.89,11,40
5401.475191116333,184,218,47.91,12,40
5435.707330703735,184,218,48.0,7,40
5469.300985336304,183,218,48.09,6,41
