t,u,v,x,y,z,r,num_contours,threshold
28.24687957763672,111,311,-8.32734375,-2.958333333333333,20.0,49.21,5,
57.739973068237305,112,312,-8.287500000000001,-3.0,20.0,48.87,4,
91.60375595092773,112,312,-8.287500000000001,-3.0,20.0,48.95,5,
124.24087524414062,110,310,-8.3671875,-2.9166666666666665,20.0,49.18,3,
156.1720371246338,110,309,-8.3671875,-2.875,20.0,49.34,3,
192.673921585083,112,311,-8.287500000000001,-2.958333333333333,20.0,49.26,3,
225.45790672302246,113,311,-8.24765625,-2.958333333333333,20.0,49.08,4,
257.5838565826416,113,311,-8.24765625,-2.958333333333333,20.0,49.07,3,
291.4140224456787,115,312,-8.16796875,-3.0,20.0,49.01,4,
323.2088088989258,115,313,-8.16796875,-3.0416666666666665,20.0,48.86,3,
356.2958240509033,115,313,-8.16796875,-3.0416666666666665,20.0,48.76,3,
389.3609046936035,118,314,-8.0484375,-3.083333333333333,20.0,48.72,4,
423.3429431915283,121,316,-7.928906250000001,-3.1666666666666665,20.0,48.7,6,
455.12986183166504,121,316,-7.928906250000001,-3.1666666666666665,20.0,48.53,6,
486.5849018096924,120,315,-7.968750000000001,-3.125,20.0,48.49,5,
520.9248065948486,122,317,-7.8890625000000005,-3.208333333333333,20.0,48.41,5,
553.3249378204346,127,319,-7.6898437500000005,-3.2916666666666665,20.0,48.21,5,
585.669755935669,127,319,-7.6898437500000005,-3.2916666666666665,20.0,48.13,5,
620.5108165740967,126,318,-7.729687500000001,-3.25,20.0,48.22,5,
653.2390117645264,127,319,-7.6898437500000005,-3.2916666666666665,20.0,48.28,3,
684.9861145019531,125,318,-7.769531250000001,-3.25,20.0,48.4,5,
717.5579071044922,123,316,-7.849218750000001,-3.1666666666666665,20.0,48.51,5,
751.2507438659668,123,317,-7.849218750000001,-3.208333333333333,20.0,48.54,6,
784.1718196868896,126,318,-7.729687500000001,-3.25,20.0,48.39,4,
818.1507587432861,126,318,-7.729687500000001,-3.25,20.0,48.15,4,
850.1768112182617,126,315,-7.729687500000001,-3.125,20.0,48.02,5,
882.8747272491455,125,310,-7.769531250000001,-2.9166666666666665,20.0,48.2,5,
949.2228031158447,128,306,-7.65,-2.75,20.0,48.5,4,
982.6288223266602,140,309,-7.171875000000001,-2.875,20.0,48.29,2,
1015.6888961791992,158,315,-6.4546875,-3.125,20.0,47.1,4,
1048.3520030975342,167,311,-6.0960937500000005,-2.958333333333333,20.0,45.92,7,
1082.0279121398926,175,301,-5.777343750000001,-2.5416666666666665,20.0,45.8,5,
1115.102767944336,195,304,-4.980468750000001,-2.6666666666666665,20.0,45.15,5,
1147.9859352111816,218,309,-4.0640625,-2.875,20.0,43.48,4,
1179.7597408294678,232,302,-3.5062500000000005,-2.583333333333333,20.0,42.73,5,
1212.6178741455078,242,292,-3.1078125000000005,-2.1666666666666665,20.0,43.1,4,
1247.741937637329,248,286,-2.8687500000000004,-1.9166666666666665,20.0,42.93,5,
1279.2067527770996,251,280,-2.7492187500000003,-1.6666666666666665,20.0,42.4,7,
1312.0229244232178,257,275,-2.51015625,-1.4583333333333333,20.0,42.23,6,
1345.123052597046,264,268,-2.23125,-1.1666666666666665,20.0,42.22,5,
1378.7388801574707,269,258,-2.03203125,-0.75,20.0,42.14,5,
1412.2700691223145,275,252,-1.7929687500000002,-0.5,20.0,42.02,4,
1446.9199180603027,284,249,-1.4343750000000002,-0.375,20.0,41.5,5,
1477.6029586791992,291,239,-1.15546875,0.041666666666666664,20.0,40.94,3,
1510.8869075775146,299,226,-0.8367187500000001,0.5833333333333333,20.0,40.81,4,
1544.3477630615234,309,213,-0.43828125000000007,1.125,20.0,40.66,3,
1577.4009227752686,317,197,-0.11953125,1.7916666666666665,20.0,40.13,4,
1609.5290184020996,323,178,0.11953125,2.583333333333333,20.0,39.83,5,
1643.8357830047607,332,160,0.478125,3.333333333333333,20.0,39.83,5,
1675.7359504699707,348,149,1.115625,3.7916666666666665,20.0,39.65,4,
1708.594799041748,365,141,1.7929687500000002,4.125,20.0,39.2,4,
1741.2950992584229,376,130,2.23125,4.583333333333333,20.0,38.69,4,
1774.51491355896,385,119,2.5898437500000004,5.041666666666666,20.0,38.45,4,
1808.520793914795,401,116,3.22734375,5.166666666666666,20.0,38.45,4,
1843.4407711029053,421,118,4.02421875,5.083333333333333,20.0,38.13,4,
1873.9147186279297,436,116,4.621875,5.166666666666666,20.0,37.58,4,
1906.2457084655762,448,108,5.1000000000000005,5.5,20.0,37.38,4,
1940.072774887085,462,98,5.6578125,5.916666666666666,20.0,37.6,7,
1973.3848571777344,476,88,6.215625000000001,6.333333333333333,20.0,37.99,9,
2006.5698623657227,483,77,6.4945312500000005,6.791666666666666,20.0,38.17,9,
2040.747880935669,489,68,6.733593750000001,7.166666666666666,20.0,38.43,16,
2071.992874145508,496,62,7.012500000000001,7.416666666666666,20.0,38.72,17,
2105.968713760376,37,444,-11.275781250000001,-8.5,20.0,38.98,16,
2138.2458209991455,489,58,6.733593750000001,7.583333333333333,20.0,38.71,16,
