t,u,v,r,num_contours,threshold
28.754234313964844,332,355,220.65,184,147.0
57.21616744995117,332,354,221.41,194,147.0
90.13724327087402,333,356,220.63,189,147.0
124.19509887695312,332,356,219.56,180,147.0
157.23609924316406,333,355,220.29,202,147.0
190.35601615905762,332,356,219.65,195,147.0
224.14898872375488,332,354,221.27,207,147.0
255.97023963928223,333,353,222.22,161,147.0
288.8603210449219,331,355,221.53,172,147.0
322.559118270874,332,354,222.22,177,147.0
355.70716857910156,332,354,222.01,186,147.0
389.3120288848877,331,354,221.9,177,147.0
455.5702209472656,333,353,222.79,165,147.0
485.9740734100342,333,353,222.36,180,147.0
517.876148223877,332,353,222.66,182,147.0
551.4991283416748,334,351,224.19,182,147.0
584.5420360565186,332,353,223.59,154,147.0
617.8669929504395,332,352,223.77,165,147.0
652.1751880645752,332,352,223.62,194,147.0
684.2880249023438,331,353,222.96,147,147.0
717.029333114624,332,352,223.9,162,147.0
750.8091926574707,332,352,223.6,181,147.0
783.9760780334473,331,353,223.67,162,147.0
817.2070980072021,332,352,224.26,159,147.0
851.4602184295654,331,353,222.91,167,147.0
882.0772171020508,330,353,223.17,191,147.0
915.013313293457,331,353,223.08,183,147.0
948.6589431762695,329,356,221.19,167,147.0
982.4521541595459,330,354,222.31,172,147.0
1014.768123626709,331,354,222.01,190,147.0
1047.1792221069336,330,354,223.17,176,147.0
1078.99808883667,332,352,224.31,168,147.0
1111.1550331115723,332,352,224.35,196,147.0
1144.5293426513672,331,353,223.89,177,147.0
1178.4782409667969,332,352,224.37,183,147.0
1214.2562866210938,331,354,222.89,205,147.0
1246.1111545562744,331,353,223.89,169,147.0
1278.2142162322998,333,352,224.05,165,147.0
1311.272144317627,331,352,224.28,179,147.0
1344.5281982421875,331,351,225.11,161,147.0
1377.8769969940186,332,352,224.38,206,147.0
1411.0300540924072,330,353,224.04,159,147.0
1445.547103881836,331,353,223.11,204,147.0
1476.506233215332,331,355,221.93,192,147.0
1509.383201599121,330,355,221.75,173,147.0
1542.6340103149414,331,354,221.84,183,147.0
1575.707197189331,330,355,221.86,153,147.0
1613.81196975708,330,354,222.39,177,147.0
1646.2132930755615,331,354,222.73,183,147.0
