lambda,mu,average_wait_time
1,0.5,1.3416328509013093
1,0.6,1.0368149249161465
1,0.7,0.8229082861397169
1,0.8,0.684165914693651
1,0.9,0.5794439717709945
1,1,0.4968869535052219
1,1.1,0.4333487669424461
1,1.2,0.38078076629921503
1,1.3,0.3360707626163864
1,1.4,0.30155612293273776
1,1.5,0.26342329194351677
1.5,0.5,1.5036205064302037
1.5,0.6,1.1682300942220998
1.5,0.7,0.9669020669750186
1.5,0.8,0.821558080248962
1.5,0.9,0.692809131673475
1.5,1,0.6020401619805192
1.5,1.1,0.5094382873060012
1.5,1.2,0.4699525647287529
1.5,1.3,0.41653629698233074
1.5,1.4,0.36726211484763943
1.5,1.5,0.3325292552911026
2,0.5,1.5735820409803185
2,0.6,1.2750092069846515
2,0.7,1.0457906787345523
2,0.8,0.9047189886443441
2,0.9,0.764588224722069
2,1,0.6603794711289672
2,1.1,0.5960008001935253
2,1.2,0.5213116307818045
2,1.3,0.4594509215360497
2,1.4,0.415996347144934
2,1.5,0.3824331675320436
2.5,0.5,1.6441142665005959
2.5,0.6,1.3826507711414964
2.5,0.7,1.1096614122227104
2.5,0.8,0.9490838527527106
2.5,0.9,0.8293932221078264
2.5,1,0.709063068985689
2.5,1.1,0.6210896864860551
2.5,1.2,0.554660078713193
2.5,1.3,0.5042207043258169
2.5,1.4,0.45689290489521694
2.5,1.5,0.41924612327457966
3,0.5,1.7334305102646235
3,0.6,1.3769136554042438
3,0.7,1.1708539899465864
3,0.8,0.9792229775482783
3,0.9,0.8541674695129667
3,1,0.7536203941636418
3,1.1,0.6688591123903097
3,1.2,0.5998460686722286
3,1.3,0.5390521824063303
3,1.4,0.48899507795302743
3,1.5,0.4454018285370689
